"game_id","season","week","season_type","start_date","start_time_tbd","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_conference","home_points","home_post_win_prob","away_id","away_team","away_conference","away_points","away_post_win_prob","excitement_index"
230010087,2002,1,"postseason","2003-01-01T13:30:00.000Z",NA,FALSE,FALSE,0,NA,NA,87,"Notre Dame","FBS Independents",6,NA,152,"NC State","ACC",28,NA,NA
230010265,2002,1,"postseason","2003-01-01T18:00:00.000Z",NA,FALSE,FALSE,0,1056,"Rose Bowl",265,"Washington State","Pac-10",14,NA,201,"Oklahoma","Big 12",34,NA,NA
230010052,2002,1,"postseason","2003-01-01T20:30:00.000Z",NA,FALSE,FALSE,74269,3493,"Mercedes-Benz Superdome",52,"Florida State","ACC",13,NA,61,"Georgia","SEC",26,NA,NA
230020030,2002,1,"postseason","2003-01-02T21:00:00.000Z",NA,FALSE,TRUE,0,NA,NA,30,"USC","Pac-10",38,NA,2294,"Iowa","Big Ten",17,NA,NA
230032390,2002,1,"postseason","2003-01-03T20:00:00.000Z",NA,TRUE,FALSE,0,3947,"Sun Devil Stadium",2390,"Miami","Big East",24,NA,194,"Ohio State","Big Ten",31,NA,NA
222412649,2002,2,"regular","2002-08-29T19:00:00.000Z",NA,FALSE,FALSE,23074,3739,"Glass Bowl",2649,"Toledo","Mid-American",44,NA,13,"Cal Poly",NA,16,NA,NA
222410058,2002,2,"regular","2002-08-29T19:00:00.000Z",NA,FALSE,FALSE,22074,3886,"Raymond James Stadium",58,"South Florida","FBS Independents",51,NA,2226,"Florida Atlantic",NA,10,NA,NA
222410189,2002,2,"regular","2002-08-29T19:00:00.000Z",NA,FALSE,FALSE,15696,3700,"Doyt Perry Stadium",189,"Bowling Green","Mid-American",41,NA,2635,"Tennessee Tech",NA,7,NA,NA
222410218,2002,2,"regular","2002-08-29T19:00:00.000Z",NA,FALSE,FALSE,15329,3730,"Franklin Field",218,"Temple","Big East",34,NA,257,"Richmond",NA,7,NA,NA
222412309,2002,2,"regular","2002-08-29T19:00:00.000Z",NA,FALSE,FALSE,16073,3696,"Dix Stadium",2309,"Kent State","Mid-American",34,NA,160,"New Hampshire",NA,7,NA,NA
222412711,2002,2,"regular","2002-08-29T19:30:00.000Z",NA,FALSE,FALSE,28268,3980,"Waldo Stadium",2711,"Western Michigan","Mid-American",48,NA,282,"Indiana State",NA,17,NA,NA
222412117,2002,2,"regular","2002-08-29T19:30:00.000Z",NA,FALSE,FALSE,18826,3786,"Kelly/Shorts Stadium",2117,"Central Michigan","Mid-American",34,NA,2534,"Sam Houston State",NA,10,NA,NA
222410252,2002,2,"regular","2002-08-29T19:30:00.000Z",NA,FALSE,FALSE,65612,3801,"LaVell Edwards Stadium",252,"BYU","Mountain West",42,NA,183,"Syracuse","Big East",21,NA,NA
222412084,2002,2,"regular","2002-08-29T19:30:00.000Z",NA,FALSE,FALSE,21103,3965,"UB Stadium",2084,"Buffalo","Mid-American",26,NA,2329,"Lehigh",NA,37,NA,NA
222412459,2002,2,"regular","2002-08-29T19:35:00.000Z",NA,FALSE,FALSE,19653,3764,"Brigham Field at Huskie Stadium",2459,"Northern Illinois","Mid-American",42,NA,154,"Wake Forest","ACC",41,NA,NA
222410278,2002,2,"regular","2002-08-29T22:00:00.000Z",NA,FALSE,FALSE,39111,3660,"Bulldog Stadium",278,"Fresno State","Western Athletic",16,NA,21,"San Diego State","Mountain West",14,NA,NA
222410204,2002,2,"regular","2002-08-29T22:00:00.000Z",NA,FALSE,FALSE,0,3893,"Reser Stadium",204,"Oregon State","Pac-10",49,NA,2198,"Eastern Kentucky",NA,10,NA,NA
222420202,2002,2,"regular","2002-08-30T20:00:00.000Z",NA,FALSE,FALSE,40385,NA,NA,202,"Tulsa","Western Athletic",0,NA,201,"Oklahoma","Big 12",37,NA,NA
222432294,2002,2,"regular","2002-08-31T12:00:00.000Z",NA,FALSE,FALSE,51495,3793,"Kinnick Stadium",2294,"Iowa","Big Ten",57,NA,2006,"Akron","Mid-American",21,NA,NA
222430103,2002,2,"regular","2002-08-31T12:00:00.000Z",NA,FALSE,FALSE,40066,3615,"Alumni Stadium",103,"Boston College","Big East",24,NA,41,"Connecticut","FBS Independents",16,NA,NA
222430130,2002,2,"regular","2002-08-31T12:00:00.000Z",NA,FALSE,TRUE,111491,3558,"Michigan Stadium",130,"Michigan","Big Ten",31,NA,264,"Washington","Pac-10",29,NA,NA
222432005,2002,2,"regular","2002-08-31T12:00:00.000Z",NA,FALSE,TRUE,45114,3713,"Falcon Stadium",2005,"Air Force","Mountain West",52,NA,77,"Northwestern","Big Ten",3,NA,NA
222430213,2002,2,"regular","2002-08-31T12:10:00.000Z",NA,FALSE,FALSE,0,3632,"Beaver Stadium",213,"Penn State","Big Ten",27,NA,2116,"UCF","Mid-American",24,NA,NA
222430333,2002,2,"regular","2002-08-31T12:30:00.000Z",NA,FALSE,FALSE,80091,3657,"Bryant Denny Stadium",333,"Alabama","SEC",39,NA,2393,"Middle Tennessee","Sun Belt",34,NA,NA
222430066,2002,2,"regular","2002-08-31T12:30:00.000Z",NA,FALSE,TRUE,40026,3772,"Jack Trice Stadium",66,"Iowa State","Big 12",45,NA,2305,"Kansas","Big 12",3,NA,NA
222430038,2002,2,"regular","2002-08-31T13:00:00.000Z",NA,FALSE,FALSE,75531,NA,NA,38,"Colorado","Big 12",14,NA,36,"Colorado State","Mountain West",19,NA,NA
222430153,2002,2,"regular","2002-08-31T13:30:00.000Z",NA,FALSE,FALSE,38000,3787,"Kenan Memorial Stadium",153,"North Carolina","ACC",21,NA,193,"Miami (OH)","Mid-American",27,NA,NA
222432509,2002,2,"regular","2002-08-31T14:00:00.000Z",NA,FALSE,FALSE,47701,3907,"Ross-Ade Stadium",2509,"Purdue","Big Ten",51,NA,2287,"Illinois State",NA,10,NA,NA
222430265,2002,2,"regular","2002-08-31T15:00:00.000Z",NA,FALSE,FALSE,63588,3820,"Martin Stadium",265,"Washington State","Pac-10",31,NA,2440,"Nevada","Western Athletic",7,NA,NA
222430127,2002,2,"regular","2002-08-31T15:30:00.000Z",NA,FALSE,FALSE,73927,3936,"Spartan Stadium",127,"Michigan State","Big Ten",56,NA,2199,"Eastern Michigan","Mid-American",7,NA,NA
222432655,2002,2,"regular","2002-08-31T15:30:00.000Z",NA,FALSE,FALSE,0,3493,"Mercedes-Benz Superdome",2655,"Tulane","Conference USA",37,NA,2582,"Southern",NA,19,NA,NA
222430025,2002,2,"regular","2002-08-31T15:30:00.000Z",NA,FALSE,FALSE,27185,3831,"California Memorial Stadium",25,"California","Pac-10",70,NA,239,"Baylor","Big 12",22,NA,NA
222430356,2002,2,"regular","2002-08-31T15:30:00.000Z",NA,FALSE,FALSE,61876,NA,NA,356,"Illinois","Big Ten",20,NA,142,"Missouri","Big 12",33,NA,NA
222430052,2002,2,"regular","2002-08-31T15:30:00.000Z",NA,FALSE,TRUE,79406,3697,"Bobby Bowden Field at Doak Campbell Stadium",52,"Florida State","ACC",40,NA,258,"Virginia","ACC",19,NA,NA
222430084,2002,2,"regular","2002-08-31T17:00:00.000Z",NA,FALSE,TRUE,33427,3830,"Memorial Stadium",84,"Indiana","Big Ten",25,NA,2729,"William & Mary",NA,17,NA,NA
